Algorithm,Dataset,RMSE_train,RMSE_test
FEATFull,wineWhite,0.7330540367908149,0.7355307315984398
FEATFull,wineWhite,0.7305634388503921,0.7243154076746164
FEATFull,wineWhite,0.7182054282664683,0.7199044221600317
FEATFull,wineWhite,0.7379542480155159,0.7308286798648564
FEATFull,wineWhite,0.7374455866422056,0.7297454532673516
FEATFull,wineWhite,0.7371047102777102,0.7291318102243581
FEATFull,wineWhite,0.7266969795514839,0.7161293359238441
FEATFull,wineWhite,0.7177615682490854,0.7136987991133299
FEATFull,yacht,0.8124438729710955,0.6925613460422538
FEATFull,yacht,0.6036610618652295,0.5494879164393907
FEATFull,yacht,0.6397245153980236,0.6543391933462992
FEATFull,yacht,0.5252096471804389,0.5165270282399914
FEATFull,yacht,0.7532820575324586,0.8091469678920392
FEATFull,yacht,0.34731478242639496,0.4751346200042098
FEATFull,yacht,0.5087899780980579,1.0706206156967009
FEATFull,yacht,0.4555151690676252,0.7471889535879558
FEATFull,yacht,0.40035503661350397,1.0208093109279948
FEATFull,yacht,0.4525543148482686,1.1370081796922828
FEATFull,yacht,0.5680766098699079,0.9749083819955756
FEATFull,yacht,0.6708413547376478,1.1963074396343891
FEATFull,yacht,0.4379493777424116,0.7492112866304317
FEATFull,yacht,0.3949747577874979,0.9579654705403926
FEATFull,yacht,0.3795264626572566,0.6789432227985008
FEATFull,yacht,0.5614738561310723,0.6027829733993982
FEATFull,yacht,0.6380722229111667,0.9537472679453438
FEATFull,yacht,0.4231641596042233,0.687650041848099
FEATFull,yacht,0.6554946900483988,0.8584218582271961
FEATFull,yacht,0.601081289027911,0.8905537836737611
FEATFull,yacht,0.4393807923537903,0.8445164209709771
FEATFull,yacht,0.5124491304235164,0.8508410806859442
FEATFull,energyCooling,1.5855193607871032,1.687422495998108
FEATFull,energyHeating,0.4689082155759006,0.5312111170128977
FEATFull,energyHeating,0.448509901821906,0.5486595987324094
FEATFull,yacht,0.6588943788373465,0.8578776131591314
FEATFull,yacht,0.3824383727883099,0.924684333813774
FEATFull,yacht,0.4364855578070861,1.1431793845519551
FEATFull,yacht,0.7664811755756535,1.35489622216196
FEATFull,yacht,0.4085711249482637,0.4774629485591156
